League,#,Date,City
Argentina,1,2021-12-04,Mendoza
Argentina,2,2021-12-29,Buenos Aires
Argentina,3,2022-04-30,La Plata
Argentina,4,2022-06-18,Rosario
Argentina,5,2022-08-27,Corrientes
Argentina,6,, 
Argentina,7,, 
Argentina,8,, 
Argentina,9,, 
Argentina,10,, 
Argentina,11,, 
Chile,1,2022-02-11,Concepción
Chile,2,2022-03-27,Viña del Mar
Chile,3,2022-05-07,Puerto Montt
Chile,4,2022-06-05, 
Chile,5,2022-07-10, 
Chile,6,2022-08-06, 
Chile,7,2022-09-03, 
Chile,8,2022-10-02, 
Chile,9,2022-11-12, 
Chile,10,2023-01-12, 
Chile,11,2023-01-15, 
Colombia,1,2022-02-26,Medellín
Colombia,2,2022-04-29,Barranquilla
Colombia,3,2022-05-06,Cali
Colombia,4,2022-06-26,Bogotá
Colombia,5,2022-07-24,Pereira
Colombia,6,2022-08-20,–
Colombia,7,2022-09-24,–
Colombia,8,2022-10-08,–
Colombia,9,2022-11-06,–
Colombia,10,,–
Colombia,11,2023-02-05,–
Espana,1,2021-12-18,Avilés
Espana,2,2022-02-05,Granada
Espana,3,2022-03-26,Santiago de Compostela
Espana,4,2022-05-07,Salamanca
Espana,5,2022-06-26,Zaragoza
Espana,6,2022-09-10,–     
Espana,7,2022-10-01,–
Espana,8,2022-11-19,–
Espana,9,2023-01-28,–
Espana,10,2023-02-10,–
Espana,11,2023-02-12,–
Mexico,1,2022-01-08,Monterrey
Mexico,2,2022-02-06,Puebla
Mexico,3,2022-05-01,Ciudad Juárez
Mexico,4,2022-07-09, León
Mexico,5,, 
Mexico,6,, 
Mexico,7,, 
Mexico,8,, 
Mexico,9,, 
Mexico,10,, 
Mexico,11,, 
Peru,1,2021-10-10,Lima
Peru,2,2021-11-20,Trujillo
Peru,3,2022-01-22,Lima Norte
Peru,4,2022-04-30,Arequipa
Peru,5,2022-06-05,Chiclayo
Peru,6,2022-07-09,Piura
Peru,7,,
Peru,8,,
Peru,9,,
Peru,10,,
Peru,11,,
